name;site;code;type;longitude;latitude;height
Tarraconensis;Rubi;NIC;Dressel 2-4 Catalan;2.033047;41.492256;0
Britannia;London;ADBVCIVSF;Amphora incerta;-0.093145;51.514248;0
Britannia;London;EXOFQRF;Dressel 20;-0.093145;51.514248;0
Noricum;Magdalensberg;OPTA;Dressel 6B;14.966667;46.65;0
Britannia;London;CIVLISVRI;Dressel 20;-0.093145;51.514248;0
Tarraconensis;Badalona;H;Pascual 1;2.244789;41.447145;0
Narbonensis;Peyrestortes;A;Amphora incerta;2.85232;42.754795;0
Narbonensis;Saint-Romain-en-Gal;PORLAR;Dressel 20;4.860743;45.531592;0
Tarraconensis;Sant Quirze del Valles;HE;Dressel 2-4 Catalan;2.081905;41.531905;0
Italia;Ostia Antica;PLOC;Amphora incerta;12.283333;41.75;0
Lugdunensis;Mont-Beuvray;ANCORA;Dressel 1;4.032143;46.92678;0
Tarraconensis;Sant Boi de Llobregat;VPA;Tegula;2.040791;41.342647;0
Lugdunensis;Lyon?;GANNIRVFINI;Dressel 20;4.846711;45.748457;0
Tarraconensis;Tivissa;TIBISI;Pascual 1;0.732916;41.041827;0
Tarraconensis;Badalona;MPORCI;Pascual 1;2.244789;41.447145;0
Italia;Padova;PLL;Dressel 6B;11.883333;45.416667;0
Lugdunensis;Autun;AGRICOLAE;Dressel 20;4.300357;46.954878;0
Tarraconensis;Sant Quirze del Valles;SIGNUM;Dressel 2-4 Catalan;2.081905;41.531905;0
Tarraconensis;Cap de Creus;LVENVLEI;Tarraconense 1;3.321807;42.318238;0
